raw_file,momentum,description,threshold
/Volumes/T7/EUDAQ/run507134537_241215140721.raw,3,mid,21
/Volumes/T7/EUDAQ/run507134531_241215134543.raw,3,mid,15
/Volumes/T7/EUDAQ/run507134532_241215134949.raw,3,mid,16
/Volumes/T7/EUDAQ/run507134533_241215135322.raw,3,mid,17
/Volumes/T7/EUDAQ/run507134534_241215135652.raw,3,mid,18
/Volumes/T7/EUDAQ/run507134535_241215140020.raw,3,mid,19
/Volumes/T7/EUDAQ/run507134536_241215140349.raw,3,mid,20
/Volumes/T7/EUDAQ/run507134538_241215141052.raw,3,mid,22
/Volumes/T7/EUDAQ/run507134539_241215141424.raw,3,mid,23
/Volumes/T7/EUDAQ/run507134540_241215141755.raw,3,mid,24
/Volumes/T7/EUDAQ/run507134541_241215142128.raw,3,mid,25
/Volumes/T7/EUDAQ/run507134542_241215142459.raw,3,mid,26
/Volumes/T7/EUDAQ/run507134543_241215142831.raw,3,mid,27
/Volumes/T7/EUDAQ/run507134544_241215143158.raw,3,mid,28
/Volumes/T7/EUDAQ/run507134545_241215143527.raw,3,mid,29
