raw_file,geometry,VCASB,description
run104235923_250307013748.raw,bb0,67,align
run104235911_250306235922.raw,bb0,103,n
run104235912_250307000733.raw,bb0,100,n
run104235913_250307001543.raw,bb0,97,n
run104235914_250307002347.raw,bb0,94,n
run104235915_250307003147.raw,bb0,91,n
run105021141_250307035357.raw,bb1,67,align
run105112606_250307112618.raw,bb1,103,redo
run105021130_250307022012.raw,bb1,100,n
run105021131_250307022836.raw,bb1,97,n
run105021132_250307023707.raw,bb1,94,n
run105021133_250307024538.raw,bb1,91,n
run105102429_250307110725.raw,bb2,70,align
run105083408_250307083420.raw,bb2,106,n
run105083409_250307084320.raw,bb2,103,n
run105083410_250307085152.raw,bb2,100,n
run105083411_250307090025.raw,bb2,97,n
run105083412_250307090856.raw,bb3,61,align
run105042731_250307042743.raw,bb3,97,n
run105042732_250307043617.raw,bb3,94,n
run105042733_250307044448.raw,bb3,91,n
run105042734_250307045318.raw,bb3,88,n
run105042735_250307050149.raw,bb3,85,n
